symbol,year,net_profit_margin,opm_percentage,interest_coverage,debt_to_equity,compounded_sales_growth,compounded_profit_growth,roe,operating_activity,latest_health_score,health_label,profitability_score,growth_score,leverage_score,cash_conversion_ratio,cashflow_score,dividend_payout,dividend_score,trend_score,overall_score
ABB,2012.0,0.09658816501349901,0.5152816801762649,,0.0,,,,0.381597611921686,,POOR,7.442662213694468,,20.0,0.0026317076684254205,0.03289634585531776,25.0,8.333333333333334,10,
ABB,2014.0,0.09651843459367293,0.5152816801762649,,0.0,,,,0.3818080496321237,,POOR,7.389936710774285,,20.0,0.001928323482990524,0.02410404353738155,25.0,8.333333333333334,10,
ABB,2014.0,0.09651843459367293,0.5152816801762649,,0.0,,,,0.3818080496321237,,POOR,7.389936710774285,,20.0,0.001928323482990524,0.02410404353738155,25.0,8.333333333333334,10,
ABB,2014.0,0.09651843459367293,0.5152816801762649,,0.0,,,,0.3818080496321237,,POOR,7.389936710774285,,20.0,0.001928323482990524,0.02410404353738155,25.0,8.333333333333334,10,
ABB,2014.0,0.09651843459367293,0.5152816801762649,,0.0,,,,0.3818080496321237,,POOR,7.389936710774285,,20.0,0.001928323482990524,0.02410404353738155,25.0,8.333333333333334,10,
ABB,2014.0,0.09651843459367293,0.5152816801762649,,0.0,,,,0.38120401546327476,,POOR,7.389936710774285,,20.0,0.0019252728053700745,0.024065910067125933,25.0,8.333333333333334,10,
ABB,2014.0,0.09651843459367293,0.5152816801762649,,0.0,,,,0.38120401546327476,,POOR,7.389936710774285,,20.0,0.0019252728053700745,0.024065910067125933,25.0,8.333333333333334,10,
ABB,2014.0,0.09651843459367293,0.5152816801762649,,0.0,,,,0.38120401546327476,,POOR,7.389936710774285,,20.0,0.0019252728053700745,0.024065910067125933,25.0,8.333333333333334,10,
ABB,2014.0,0.09651843459367293,0.5152816801762649,,0.0,,,,0.38120401546327476,,POOR,7.389936710774285,,20.0,0.0019252728053700745,0.024065910067125933,25.0,8.333333333333334,10,
ABB,2015.0,0.09777422576809225,0.5153018940389319,,0.0,,,,0.38204186931038786,,POOR,8.54982931100888,,20.0,0.0016683051061588989,0.020853813826986235,29.0,9.666666666666666,10,
