symbol,year,sales,net_profit,borrowings,operating_profit,sales_zscore,net_profit_zscore,borrowings_zscore,operating_profit_zscore,zscore_anomaly,isolation_flag,isolation_anomaly,final_anomaly
ABB,2012.0,1653,145,0.0,202.0,0.5471281552154732,0.5604817825203111,0.3572615750490145,0.578855819057726,False,1,False,False
ABB,2014.0,2276,198,0.0,267.0,0.5417952532938547,0.5552325133900836,0.3572615750490145,0.5762688224247612,False,1,False,False
ABB,2015.0,2289,229,0.0,312.0,0.5416839728364212,0.5521621861629694,0.3572615750490145,0.5744778247557856,False,1,False,False
ABB,2016.0,2614,255,0.0,365.0,0.538901961400585,0.5495870730047446,0.3572615750490145,0.5723684275012142,False,1,False,False
ABB,2017.0,2903,277,0.0,398.0,0.5364281112314875,0.5474081311016313,0.3572615750490145,0.5710550292106321,False,1,False,False
ABB,2018.0,3298,401,0.0,525.0,0.5330468973325481,0.5351268221931746,0.3572615750490145,0.5660004357893008,False,1,False,False
ABB,2019.0,3679,450,0.0,605.0,0.5297855239262292,0.5302737243180586,0.3572615750490145,0.5628164399333441,False,1,False,False
ABB,2020.0,4093,593,175.0,757.0,0.5262416693587332,0.5161106019478223,0.3564758865948786,0.5567668478070263,False,1,False,False
ABB,2021.0,4310,691,153.0,922.0,0.5243841417231132,0.5064044061975904,0.35657465885768425,0.5501998563541157,False,1,False,False
ABB,2022.0,4913,799,152.0,1082.0,0.5192224405052386,0.4957077823095797,0.3565791485059936,0.5438318646422023,False,1,False,False
ABB,2023.0,5349,949,113.0,1206.0,0.5154902651636244,0.48085136024289815,0.3567542447900582,0.5388966710654695,False,1,False,False
ABB,2024.0,5849,1201,83.0,1453.0,0.5112102475700301,0.45589257117087323,0.35688893423933865,0.5290660838602032,False,1,False,False
ABB,2024.0,5849,1201,60.0,1453.0,0.5112102475700301,0.45589257117087323,0.35699219615045363,0.5290660838602032,False,1,False,False
ABB,2019.0,6066,1285,6695.0,1547.0,0.5093527199344102,0.44757297481353153,0.3272033796179293,0.525324888729454,False,1,False,False
ADANIENSOL,2014.0,0,0,0.0,0.0,0.5612778933798959,0.5748429905181032,0.3572615750490145,0.5868954085940167,False,1,False,False
ADANIENSOL,2015.0,131,-7,9701.0,101.0,0.5601565287703741,0.5755362902145483,0.31370749680002896,0.5828756138258713,False,1,False,False
ADANIENSOL,2016.0,2194,368,8585.0,1927.0,0.5424971761792042,0.5383952350478446,0.3187179443132614,0.5102009084136597,False,1,False,False
ADANIENSOL,2017.0,2876,416,8975.0,1983.0,0.5366592321815417,0.5336411799865065,0.31696698147261565,0.50797211131449,False,1,False,False
ADANIENSOL,2018.0,3944,1143,10428.0,2826.0,0.5275171146016242,0.46163705436999003,0.3104435224791329,0.4744207549823463,False,1,False,False
ADANIENSOL,2019.0,7305,559,20137.0,2778.0,0.49874683633748357,0.5194780576162701,0.2668535270436726,0.4763311524959203,False,1,False,False
ADANIENSOL,2020.0,11416,706,24246.0,4258.0,0.4635565316829515,0.5049187639909222,0.24840556214056145,0.4174272291607214,False,1,False,False
ADANIENSOL,2021.0,9926,1290,27095.0,3950.0,0.47631098411186246,0.44707776074464217,0.2356145541072288,0.42968561320615467,False,1,False,False
ADANIENSOL,2022.0,11258,1236,29902.0,4206.0,0.4649090172425273,0.45242607268864754,0.2230121113028888,0.41949682646709324,False,1,False,False
ADANIENSOL,2023.0,13293,1281,34270.0,4518.0,0.44748934563659865,0.4479691460686431,0.20340132748765646,0.40707924262886214,False,1,False,False
ADANIENSOL,2024.0,16607,1196,37070.0,5711.0,0.41912138902625584,0.4563877852397626,0.1908303122214819,0.35959790442690787,False,1,False,False
ADANIENSOL,2024.0,16607,1196,39009.0,5711.0,0.41912138902625584,0.4563877852397626,0.18212488414965602,0.35959790442690787,False,1,False,False
ADANIENSOL,2019.0,22099,589,6695.0,6592.0,0.3721096757782164,0.5165067732029338,0.3272033796179293,0.32453415006318476,False,1,False,False
ADANIENT,2013.0,46375,1218,69332.0,6021.0,0.1643062615740276,0.4542088433366493,0.04598527846529476,0.34725992048507565,False,1,False,False
ADANIENT,2014.0,54947,2646,71980.0,9383.0,0.09092963994944751,0.31277570526184123,0.03409668974214109,0.21345249463849544,False,1,False,False
ADANIENT,2015.0,64465,2298,83571.0,12450.0,0.009455225037787054,0.34724260445654237,0.017942823811512285,0.09138605351075553,False,1,False,False
ADANIENT,2016.0,34008,1000,19169.0,1684.0,0.2701682167339882,0.47580017674022645,0.27119950660712155,0.5198722958261282,False,1,False,False
ADANIENT,2017.0,36533,925,20846.0,1902.0,0.24855412788633716,0.4832283877735672,0.26367036639234487,0.5111959071186462,False,1,False,False
ADANIENT,2018.0,35924,594,17637.0,2038.0,0.253767189315335,0.5160115591340444,0.27807764781704275,0.5057831141635197,False,1,False,False
ADANIENT,2019.0,40379,506,11243.0,1969.0,0.21563223255641006,0.5247273267464976,0.3067844591070143,0.5085293105892824,False,1,False,False
ADANIENT,2020.0,43403,1040,12419.0,2294.0,0.18974668615035192,0.47183846418911135,0.30150463269522093,0.49559432742445836,False,1,False,False
ADANIENT,2021.0,39537,1046,16227.0,2506.0,0.2228397821840228,0.4712442073064441,0.28440805193322355,0.4871567384061731,False,1,False,False
ADANIENT,2022.0,69420,788,41604.0,3714.0,0.032959749314732126,0.49679725326113633,0.1704742467868978,0.43907840098122697,False,1,False,False
ADANIENT,2023.0,127540,2422,53200.0,8818.0,0.5304689943941296,0.3349612955480856,0.11841228499169767,0.23593946537118962,False,1,False,False
ADANIENT,2024.0,96421,3335,65310.0,11377.0,0.2640892594040097,0.24453520656888414,0.06404264396549265,0.13409139792877472,False,1,False,False
ADANIENT,2024.0,96421,3335,80427.0,11377.0,0.2640892594040097,0.24453520656888414,0.0038273695269219793,0.13409139792877472,False,1,False,False
ADANIENT,2019.0,102311,6086,6695.0,13893.0,0.3145078666565502,0.027931574134054903,0.3272033796179293,0.033954728258936584,False,1,False,False
ADANIGREEN,2017.0,502,-47,4347.0,403.0,0.5569807557159272,0.5794980027656634,0.3377450738482785,0.5708560294696348,False,1,False,False
ADANIGREEN,2018.0,1480,-138,9864.0,843.0,0.5486090413028568,0.5885108988194502,0.3129756841256052,0.553344052261873,False,1,False,False
ADANIGREEN,2019.0,2058,-475,11142.0,1526.0,0.5436613409646618,0.6218883270625947,0.3072379135862584,0.5261606876416426,False,1,False,False
ADANIGREEN,2020.0,2549,-68,14866.0,1450.0,0.5394583636877522,0.5815779018549988,0.29051846328224623,0.5291854837048015,False,1,False,False
ADANIGREEN,2021.0,3124,182,24209.0,2241.0,0.5345363434551188,0.5568171984105297,0.24857167912800732,0.4977037246790296,False,1,False,False
ADANIGREEN,2022.0,5133,489,52832.0,3512.0,0.5173392327640571,0.5264110545807215,0.12006447556953777,0.4471179905175176,False,1,False,False
ADANIGREEN,2023.0,7776,973,54223.0,4970.0,0.4947150597643178,0.4784743327122291,0.1138193747712346,0.3890896660427068,False,1,False,False
ADANIGREEN,2024.0,9220,1260,64858.0,7318.0,0.48235436895401756,0.45004904515797844,0.06607196500131798,0.2956393876703777,False,1,False,False
ADANIGREEN,2024.0,9220,1260,67430.0,7318.0,0.48235436895401756,0.45004904515797844,0.05452458954967477,0.2956393876703777,False,1,False,False
ADANIGREEN,2019.0,10782,1928,6695.0,8100.0,0.4689835939916291,0.3838884455543568,0.3272033796179293,0.26451582817840097,False,1,False,False
ADANIPORTS,2013.0,3577,1639,11620.0,2382.0,0.5306586475153224,0.41251181873616316,0.30509186169439007,0.49209193198290596,False,1,False,False
ADANIPORTS,2014.0,4830,1741,12979.0,2919.0,0.5199329234257752,0.4024094517308197,0.298990429641986,0.4707193597997966,False,1,False,False
ADANIPORTS,2015.0,6152,2324,17776.0,3902.0,0.508616556908312,0.3446674912983176,0.2774535867020434,0.4315960107197287,False,1,False,False
